[Wed Jun 09 19:22:51 CST 2021] [INFO] class java.util.logging.LogRecord 数据库中原本有39条数据
[Wed Jun 09 19:22:52 CST 2021] [INFO] class java.util.logging.LogRecord 数据:07/17/2020:12 不满足合理性约束，无法导入
[Wed Jun 09 19:22:52 CST 2021] [INFO] class java.util.logging.LogRecord 数据:07/17/2020:13 不满足合理性约束，无法导入
[Wed Jun 09 19:22:52 CST 2021] [INFO] class java.util.logging.LogRecord 数据:07/17/2020:14 不满足合理性约束，无法导入
[Wed Jun 09 19:22:52 CST 2021] [INFO] class java.util.logging.LogRecord 数据:07/17/2020:15 不满足合理性约束，无法导入
[Wed Jun 09 19:22:52 CST 2021] [INFO] class java.util.logging.LogRecord 数据:07/17/2020:16 不满足合理性约束，无法导入
[Wed Jun 09 19:22:52 CST 2021] [INFO] class java.util.logging.LogRecord 数据:07/17/2020:17 不满足合理性约束，无法导入
[Wed Jun 09 19:22:52 CST 2021] [INFO] class java.util.logging.LogRecord 数据:07/17/2020:18 不满足合理性约束，无法导入
[Wed Jun 09 19:22:52 CST 2021] [INFO] class java.util.logging.LogRecord 数据:07/17/2020:19 不满足合理性约束，无法导入
[Wed Jun 09 19:22:52 CST 2021] [INFO] class java.util.logging.LogRecord 数据:07/17/2020:20 不满足合理性约束，无法导入
[Wed Jun 09 19:22:52 CST 2021] [INFO] class java.util.logging.LogRecord 数据:07/17/2020:21 不满足合理性约束，无法导入
[Wed Jun 09 19:22:52 CST 2021] [INFO] class java.util.logging.LogRecord 数据:07/17/2020:22 不满足合理性约束，无法导入
[Wed Jun 09 19:22:52 CST 2021] [INFO] class java.util.logging.LogRecord 数据:07/17/2020:23 不满足合理性约束，无法导入
